"","join_var","booking_charge_level","booking_charge_code","booking_charge"
"1","M_PC_647F","M","PC","647F"
"2","M_PC_484A","M","PC","484A"
"3","F_PC_470A","F","PC","470A"
"4","M_PC_148A","M","PC","148A"
"5","F_PC_594B1","F","PC","594B1"
"6","M_PC_2432A1","M","PC","2432A1"
"7","F_PC_496DA","F","PC","496DA"
"8","F_PC_594A1","F","PC","594A1"
"9","F_PC_25400A3","F","PC","25400A3"
"10","F_PC_182A4","F","PC","182A4"
"11","M_PC_2433","M","PC","2433"
"12","F_PC_22810A","F","PC","22810A"
"13","F_HS_11352A","F","HS","11352A"
"14","M_PC_166A4","M","PC","166A4"
"15","F_PC_6665A","F","PC","6665A"
"16","M_PC_242","M","PC","242"
"17","M_PC_417A1","M","PC","417A1"
"18","F_VC_10851A","F","VC","10851A"
"19","M_PC_148A1","M","PC","148A1"
"20","F_PC_4872","F","PC","4872"
"21","F_PC_496A","F","PC","496A"
"22","M_PC_487F","M","PC","487F"
"23","M_PC_484","M","PC","484"
"24","F_HS_113701A","F","HS","113701A"
"25","F_HS_11378","F","HS","11378"
"26","F_PC_459","F","PC","459"
"27","Other_PC_3455","Other","PC","3455"
"28","F_PC_487A","F","PC","487A"
"29","F_PC_496D","F","PC","496D"
"30","F_PC_45735","F","PC","45735"
"31","M_PC_594A2","M","PC","594A2"
"32","M_PC_243B","M","PC","243B"
"33","M_VC_14601A","M","VC","14601A"
"34","M_PC_594A","M","PC","594A"
"35","F_PC_23900","F","PC","23900"
"36","M_PC_166C4","M","PC","166C4"
"37","F_PC_422A","F","PC","422A"
"38","F_PC_25400A1","F","PC","25400A1"
"39","M_HS_11364A","M","HS","11364A"
"40","M_VC_23103A","M","VC","23103A"
"41","M_PC_459","M","PC","459"
"42","F_PC_3455","F","PC","3455"
"43","F_PC_22210","F","PC","22210"
"44","F_PC_211","F","PC","211"
"45","F_PC_32","F","PC","32"
"46","M_HS_11550A","M","HS","11550A"
"47","F_VC_28002A","F","VC","28002A"
"48","F_PC_2735A","F","PC","2735A"
"49","M_PC_422A","M","PC","422A"
"50","F_PC_2735","F","PC","2735"
"51","F_HS_11351","F","HS","11351"
"52","F_PC_470D","F","PC","470D"
"53","F_PC_4595","F","PC","4595"
"54","M_PC_25400A1","M","PC","25400A1"
"55","F_PC_25400A2","F","PC","25400A2"
"56","F_PC_487","F","PC","487"
"57","F_PC_529A","F","PC","529A"
"58","M_VC_23152A","M","VC","23152A"
"59","M_PC_166C1","M","PC","166C1"
"60","M_PC_602L1","M","PC","602L1"
"61","F_VC_10855","F","VC","10855"
"62","F_PC_21810","F","PC","21810"
"63","M_PC_25850A","M","PC","25850A"
"64","F_PC_25400F","F","PC","25400F"
"65","F_HS_11379","F","HS","11379"
"66","F_PC_1551","F","PC","1551"
"67","F_HS_113515","F","HS","113515"
"68","F_PC_368B1","F","PC","368B1"
"69","M_HS_11377A","M","HS","11377A"
"70","M_PC_24335A","M","PC","24335A"
"71","F_VC_23152A","F","VC","23152A"
"72","F_HS_11360A","F","HS","11360A"
"73","F_PC_2125","F","PC","2125"
"74","M_PC_2735A","M","PC","2735A"
"75","F_VC_28002","F","VC","28002"
"76","F_PC_242","F","PC","242"
"77","F_PC_4904A1","F","PC","4904A1"
"78","F_HS_11350A","F","HS","11350A"
"79","M_PC_417A2B","M","PC","417A2B"
"80","F_PC_21310","F","PC","21310"
"81","F_PC_20510","F","PC","20510"
"82","F_PC_498B1","F","PC","498B1"
"83","M_PC_26100A","M","PC","26100A"
"84","F_PC_368B1","F","PC","368B1"
"85","F_PC_594B1","F","PC","594B1"
"86","F_VC_10851A","F","VC","10851A"
"87","M_HS_11364","M","HS","11364"
"88","F_PC_18622B1","F","PC","18622B1"
"89","F_PC_496DA","F","PC","496DA"
"90","M_VC_146012A","M","VC","146012A"
"91","F_VC_28002A","F","VC","28002A"
"92","M_PC_25850A","M","PC","25850A"
"93","F_PC_243D","F","PC","243D"
"94","F_PC_487A","F","PC","487A"
"95","F_PC_594B1","F","PC","594B1"
"96","M_HS_11377A","M","HS","11377A"
"97","F_VC_10851A","F","VC","10851A"
"98","M_PC_647F849B2","M","PC","647F849B2"
"99","F_HS_11359D","F","HS","11359D"
"100","F_HS_11352","F","HS","11352"
"101","M_PC_466","M","PC","466"
"102","F_HS_11379","F","HS","11379"
"103","F_PC_487C","F","PC","487C"
"104","M_PC_1489A","M","PC","1489A"
"105","F_PC_245A1","F","PC","245A1"
"106","M_VC_40508A","M","VC","40508A"
"107","M_HS_11364A","M","HS","11364A"
"108","F_PC_4532A2","F","PC","4532A2"
"109","F_VC_20001B1","F","VC","20001B1"
"110","F_PC_4573","F","PC","4573"
"111","F_PC_21310","F","PC","21310"
"112","F_PC_459","F","PC","459"
"113","F_PC_1320B","F","PC","1320B"
"114","F_PC_245A1","F","PC","245A1"
"115","F_HS_11366","F","HS","11366"
"116","F_PC_454","F","PC","454"
"117","F_VC_66410851A","F","VC","66410851A"
"118","F_VC_10851A","F","VC","10851A"
"119","M_PC_4151","M","PC","4151"
"120","M_PC_4595A","M","PC","4595A"
"121","F_PC_503","F","PC","503"
"122","M_PC_664484A","M","PC","664484A"
"123","F_VC_28002A","F","VC","28002A"
"124","F_HS_11378","F","HS","11378"
"125","F_HS_11352A","F","HS","11352A"
"126","F_PC_5305C3","F","PC","5305C3"
"127","M_PC_369IA","M","PC","369IA"
"128","M_PC_372","M","PC","372"
"129","F_PC_2735A","F","PC","2735A"
"130","F_PC_5305A","F","PC","5305A"
"131","F_HS_11351","F","HS","11351"
"132","M_PC_602M","M","PC","602M"
"133","F_HS_11379A","F","HS","11379A"
"134","F_PC_594A","F","PC","594A"
"135","F_PC_33215","F","PC","33215"
"136","F_PC_496DA","F","PC","496DA"
"137","F_PC_422A","F","PC","422A"
"138","M_VC_146012A","M","VC","146012A"
"139","M_PC_2434","M","PC","2434"
"140","F_PC_3056","F","PC","3056"
"141","F_PC_290011A","F","PC","290011A"
"142","M_PC_243E1","M","PC","243E1"
"143","F_VC_10801","F","VC","10801"
"144","F_PC_594A3","F","PC","594A3"
"145","F_PC_300008","F","PC","300008"
"146","F_PC_25850C6","F","PC","25850C6"
"147","M_PC_242243B","M","PC","242243B"
"148","M_HS_11350A","M","HS","11350A"
"149","M_VC_23247E","M","VC","23247E"
"150","F_PC_245C","F","PC","245C"
"151","F_PC_485","F","PC","485"
"152","M_PC_25400A2","M","PC","25400A2"
"153","F_PC_245A1","F","PC","245A1"
"154","F_PC_25850A","F","PC","25850A"
"155","Other_PC_300008","Other","PC","300008"
"156","F_HS_11375B1","F","HS","11375B1"
"157","F_PC_290012A","F","PC","290012A"
"158","M_PC_25400A3","M","PC","25400A3"
"159","M_PC_4595","M","PC","4595"
"160","M_PC_602","M","PC","602"
"161","F_HS_11377A","F","HS","11377A"
"162","F_PC_243C1","F","PC","243C1"
"163","M_VC_28001A","M","VC","28001A"
"164","F_PC_594A2","F","PC","594A2"
"165","F_PC_21110","F","PC","21110"
"166","M_PC_290011A","M","PC","290011A"
"167","M_PC_452D","M","PC","452D"
"168","F_PC_182A2","F","PC","182A2"
"169","M_PC_2736A","M","PC","2736A"
"170","M_PC_166A1","M","PC","166A1"
"171","F_PC_4904A2","F","PC","4904A2"
"172","F_PC_4573A","F","PC","4573A"
"173","M_VC_23103","M","VC","23103"
"174","M_PC_5977A","M","PC","5977A"
"175","M_VC_23152F","M","VC","23152F"
"176","F_HS_113796A","F","HS","113796A"
"177","F_PC_25400C2","F","PC","25400C2"
"178","F_PC_550A4","F","PC","550A4"
"179","M_PC_243A","M","PC","243A"
"180","F_HS_11351","F","HS","11351"
"181","F_PC_273AA","F","PC","273AA"
"182","M_PC_148A1","M","PC","148A1"
"183","F_PC_215A","F","PC","215A"
"184","I_VC_23154A","I","VC","23154A"
"185","F_PC_368B1","F","PC","368B1"
"186","I_VC_4000A1","I","VC","4000A1"
"187","M_PC_647F849B3","M","PC","647F849B3"
"188","M_PC_496A","M","PC","496A"
"189","M_PC_245A1","M","PC","245A1"
"190","F_PC_496","F","PC","496"
"191","F_PC_6675B","F","PC","6675B"
"192","F_PC_69","F","PC","69"
"193","M_PC_166A4","M","PC","166A4"
"194","F_PC_368D","F","PC","368D"
"195","M_PC_602O","M","PC","602O"
"196","F_PC_30305A1","F","PC","30305A1"
"197","M_PC_4153","M","PC","4153"
"198","M_PC_4152","M","PC","4152"
"199","M_HS_11375B1","M","HS","11375B1"
"200","F_PC_273AA","F","PC","273AA"
"201","F_PC_27545","F","PC","27545"
"202","M_PC_6021A","M","PC","6021A"
"203","F_PC_487B2","F","PC","487B2"
"204","M_PC_3141","M","PC","3141"
"205","F_PC_245A","F","PC","245A"
"206","F_PC_5305C2","F","PC","5305C2"
"207","M_PC_20150A","M","PC","20150A"
"208","M_PC_21510B","M","PC","21510B"
"209","M_PC_1489A","M","PC","1489A"
"210","F_PC_5305A","F","PC","5305A"
"211","F_HS_11360A3D","F","HS","11360A3D"
"212","M_PC_29825B","M","PC","29825B"
"213","M_PC_22810A","M","PC","22810A"
"214","F_PC_29800A1","F","PC","29800A1"
"215","F_PC_246","F","PC","246"
"216","F_HS_11379A","F","HS","11379A"
"217","F_PC_25400C4","F","PC","25400C4"
"218","F_PC_452C","F","PC","452C"
"219","F_PC_484ED","F","PC","484ED"
"220","M_PC_5305E","M","PC","5305E"
"221","M_HS_11550","M","HS","11550"
"222","M_PC_65323A1","M","PC","65323A1"
"223","F_PC_245A4","F","PC","245A4"
"224","F_PC_31360A","F","PC","31360A"
"225","M_PC_594B1","M","PC","594B1"
"226","F_PC_18715A3","F","PC","18715A3"
"227","F_VC_20001B1","F","VC","20001B1"
"228","M_VC_20002A","M","VC","20002A"
"229","F_PC_290","F","PC","290"
"230","M_PC_1715B","M","PC","1715B"
"231","M_PC_498B4","M","PC","498B4"
"232","M_PC_242","M","PC","242"
"233","F_PC_496DA","F","PC","496DA"
"234","F_PC_30305A1","F","PC","30305A1"
"235","F_PC_4574A","F","PC","4574A"
"236","M_PC_273AB","M","PC","273AB"
"237","M_PC_6025A","M","PC","6025A"
"238","M_HN_655B","M","HN","655B"
"239","F_PC_537A2","F","PC","537A2"
"240","F_PC_529","F","PC","529"
"241","F_PC_45738","F","PC","45738"
